price_main,title,rooms,area,floor,building_type,materials,year,district
19150000 грн,"вул. Ломоносова, 75а",4 кімнати,163 / 100 / 35 м²,поверх 11 з 19,спец. проект,монолітно-каркасний,2010,Голосіїво
3561900 грн,"просп. Науки, 42/1К11",3 кімнати,75 / 51 / 8.3 м²,поверх 4 з 5,сталінка,цегляний будинок,1958,Голосіїво
2872500 грн,"вул. Ломоносова, 75",2 кімнати,58.4 / 33 / 8.3 м²,поверх 5 з 5,сталінка,цегляний будинок,1961,Голосіїво
4596000 грн,"вул. Максимовича, 32а",2 кімнати,75 / 38 / 16 м²,поверх 9 з 25,спец. проект,монолітно-каркасний,2021,Голосіїво
6319500 грн,"вул. Максимовича, 3д",3 кімнати,135 / 80 / 20 м²,поверх 24 з 25,спец. проект,монолітно-каркасний,2017,Голосіїво
5247100 грн,"вул. Максимовича, 3г",2 кімнати,84 / 39 / 6 м²,поверх 7 з 25,спец. проект,монолітно-каркасний,2012,Голосіїво
2393750 грн,"вул. Максимовича, 26",1 кімната,41 / 18 / 15 м²,поверх 18 з 21,спец. проект,цегляний будинок,2018,Голосіїво
1685200 грн,"вул. Потєхіна, 8",1 кімната,31.8 / 18 / 6.5 м²,поверх 3 з 5,хрущівка,цегляний будинок,1961,Голосіїво
6128000 грн,"вул. Максимовича, 3г",4 кімнати,127 / 72 / 14 м²,поверх 8 з 24,спец. проект,монолітно-каркасний,2012,Голосіїво
2872500 грн,"вул. Максимовича, 9в",2 кімнати,40 / 18 / 9 м²,поверх 2 з 24,серія КТ,утеплена панель,2013,Голосіїво
2393750 грн,"Коломийський пров., 18/1",2 кімнати,45 / 30 / 7 м²,поверх 4 з 4,хрущівка,цегляний будинок,1965,Голосіїво
6702500 грн,"вул. Максимовича, 32а",2 кімнати,75 / 40 / 14 м²,поверх 14 з 23,спец. проект,монолітно-каркасний,2021,Голосіїво
17196700 грн,"вул. Ломоносова, 75а",4 кімнати,160 / - / 39.7 м²,поверх 6 з 19,спец. проект,монолітно-каркасний,2010,Голосіїво
1813888 грн,"вул. Максимовича, 26",1 кімната,29 / - / 3 м²,поверх 13 з 21,спец. проект,цегляний будинок,2018,Голосіїво
4213000 грн,"вул. Максимовича, 32а",1 кімната,52 / - / 17.3 м²,поверх 18 з 23,спец. проект,монолітно-каркасний,2021,Голосіїво
4021500 грн,"вул. Максимовича, 28б",1 кімната,40 / - / 10 м²,поверх 8 з 16,спец. проект,панельні,2018,Голосіїво
2451200 грн,"вул. Максимовича, 26",1 кімната,40 / - / 20 м²,поверх 21 з 21,спец. проект,цегляний будинок,2018,Голосіїво
3255500 грн,"вул. Максимовича, 26",1 кімната,41 / - / 15.2 м²,поверх 20 з 21,спец. проект,цегляний будинок,2018,Голосіїво
2298000 грн,"вул. Потєхіна, 3",1 кімната,48.7 / - / 7.1 м²,поверх 5 з 9,совмін,цегляний будинок,1964,Голосіїво
5362000 грн,"просп. Голосіївський, 106/2",3 кімнати,75 / - / 11 м²,поверх 4 з 5,сталінка,цегляний будинок,1952,Голосіїво
2489500 грн,"вул. Васильківська, 29/22",3 кімнати,58 / - / 6 м²,поверх 4 з 5,хрущівка,цегляний будинок,1964,Голосіїво
8234500 грн,"вул. Ломоносова, 73г",2 кімнати,78 / - / 15 м²,поверх 9 з 13,спец. проект,монолітно-каркасний,2010,Голосіїво
